"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Cabrera, Génesis",650893,"MIN","FS","Split-Finger",-3.1,-3,"93",13,"21","0.35","0.65","0.438",52.1,33.3,17.5,"0.215","0.397","0.281",30.8
"Hagenman, Justin",663795,"NYM","SI","Sinker",-1.3,-1,"96",25.1,"21","0.263","0.684","0.419",32.4,42.9,30,"0.227","0.651","0.392",100
"Bergert, Ryan",686701,"KC","CH","Changeup",-3.7,-4,"99",7.5,"21","0.421","0.579","0.448",37.5,28.6,21.4,"0.334","0.415","0.343",35.7
"Rasmussen, Drew",656876,"TB","ST","Sweeper",-2.4,-3,"109",4.7,"21","0.286","0.476","0.326",27.5,28.6,8.1,"0.271","0.555","0.347",66.7
"Hendriks, Liam",521230,"BOS","SL","Slider",-0.3,0,"76",32.9,"21","0.211","0.368","0.333",54.8,33.3,24.1,"0.192","0.365","0.28",33.3
"Ureña, José",570632,"LAA","FF","4-Seam Fastball",-4.1,-4,"94",10.1,"21","0.368","0.895","0.54",12.8,14.3,12.5,"0.322","0.855","0.508",62.5
"Misiorowski, Jacob",694819,"MIL","CH","Changeup",3.1,2,"69",5.9,"21","0.05","0.05","0.076",37.8,52.4,29.7,"0.077","0.097","0.102",11.1
"Winans, Allan",642216,"NYY","SI","Sinker",-4.4,-2,"53",31,"21","0.412","0.765","0.471",3.7,0,0,"0.312","0.523","0.396",73.7
"Johnson, Seth",686751,"PHI","SL","Slider",4,3,"73",34.1,"20","0.105","0.105","0.17",40.9,45,42.9,"0.071","0.094","0.099",20
"Stratton, Chris",608717,"LAD","CH","Changeup",-1.6,-1,"75",18.2,"20","0.3","0.5","0.343",47.4,40,32,"0.18","0.275","0.195",25
"Ferrer, José A.",678606,"WSH","SL","Slider",0.9,1,"90",7.5,"20","0.105","0.158","0.143",52.5,60,26.7,"0.115","0.166","0.15",71.4
"Garcia, Brandyn",805299,"AZ","ST","Sweeper",0.8,1,"84",30.3,"20","0.167","0.222","0.223",47.2,45,24.3,"0.082","0.098","0.138",0
"Puk, A.J.",640462,"AZ","FF","4-Seam Fastball",-1.4,-1,"97",62.2,"20","0.263","0.684","0.405",31.6,40,25.8,"0.182","0.372","0.256",36.4
"deGrom, Jacob",594798,"TEX","CU","Curveball",1.5,2,"133",5.1,"20","0.316","0.316","0.321",36.5,20,26.7,"0.219","0.274","0.241",26.7
"Stratton, Chris",608717,"LAD","CU","Curveball",-1.6,-1,"86",20.9,"20","0.35","0.55","0.388",21.1,25,16.1,"0.262","0.48","0.315",33.3
"Senga, Kodai",673540,"NYM","SI","Sinker",-0.9,-1,"114",6,"20","0.308","0.308","0.425",15,0,0,"0.328","0.401","0.455",38.5
"Suero, Wander",593833,"ATL","FC","Cutter",-0.7,-1,"108",76.1,"20","0.235","0.647","0.413",28,35,21.2,"0.088","0.224","0.215",40
"Whitley, Forrest",666215,"TB","FF","4-Seam Fastball",-2.7,-2,"86",33.6,"20","0.333","0.667","0.49",20.5,15,13.6,"0.252","0.549","0.425",58.3
"McGough, Scott",543518,"ATH","FS","Split-Finger",0.4,0,"99",33.3,"20","0.158","0.263","0.25",43.1,50,25.6,"0.134","0.256","0.193",44.4
"Bivens, Spencer",702352,"SF","FF","4-Seam Fastball",0.2,0,"81",6.3,"20","0.176","0.353","0.293",24.4,30,12.2,"0.21","0.517","0.362",72.7
"Ross, Joe",605452,"PHI","CU","Curveball",-10.8,-5,"47",5.5,"20","0.3","0.65","0.398",19.4,30,17.6,"0.291","0.619","0.38",42.9
"Bernardino, Brennan",657514,"BOS","FC","Cutter",-0.5,0,"103",12.4,"20","0.25","0.313","0.383",14.6,5,12.5,"0.261","0.419","0.373",40
"Long, Sam",669674,"KC","FS","Split-Finger",-0.8,-1,"73",9.3,"20","0.263","0.474","0.333",13.8,15,12.5,"0.258","0.373","0.295",18.8
"Meyer, Max",676974,"MIA","ST","Sweeper",-0.6,-1,"119",11.5,"20","0.368","0.632","0.44",15.4,0,0,"0.298","0.493","0.357",47.4
"Burke, Brock",656271,"LAA","SI","Sinker",2.6,2,"81",8,"20","0.188","0.188","0.253",10,5,10,"0.198","0.238","0.282",18.8
"Burgos, Juan",686228,"AZ","ST","Sweeper",-2.7,-2,"70",31.8,"20","0.316","0.579","0.395",36.6,40,25,"0.229","0.518","0.332",36.4
"Faucher, Calvin",676534,"MIA","SI","Sinker",0.2,0,"131",12.4,"20","0.235","0.235","0.285",24.4,20,19,"0.313","0.363","0.357",0
"Murfee, Penn",682171,"CWS","FF","4-Seam Fastball",0.6,0,"82",35.3,"20","0.294","0.353","0.348",20.5,15,20,"0.229","0.401","0.331",35.7
"Melton, Troy",675512,"DET","FC","Cutter",-5.1,-4,"71",10.8,"20","0.368","1.053","0.588",12.8,5,9.1,"0.344","0.836","0.497",61.1
"Anderson, Nick",623433,"COL","CU","Curveball",-0.9,-1,"71",29.5,"20","0.3","0.5","0.343",20.7,15,13,"0.265","0.425","0.296",35.3
"Payamps, Joel",606303,"ATL","SI","Sinker",-3.8,-3,"70",15.6,"20","0.444","1","0.608",6.7,5,100,"0.437","0.927","0.583",52.9
"Yesavage, Trey",702056,"TOR","FS","Split-Finger",3.3,2,"63",26.4,"20","0.111","0.111","0.16",57.1,50,30.3,"0.138","0.193","0.199",37.5
"Messick, Parker",800048,"CLE","CU","Curveball",3.5,3,"79",12.6,"20","0.056","0.056","0.16",25,25,25,"0.197","0.27","0.251",38.5
"Waldrep, Hurston",694462,"ATL","CU","Curveball",1,1,"113",13.1,"20","0.158","0.211","0.188",38.7,35,38.9,"0.174","0.191","0.188",50
"Stratton, Chris",608717,"LAD","SL","Slider",-1.5,-1,"68",16.5,"20","0.316","0.632","0.378",13.9,15,20,"0.327","0.637","0.393",47.1
"Yesavage, Trey",702056,"TOR","FF","4-Seam Fastball",-0.4,0,"108",45.2,"20","0.313","0.375","0.383",21.4,10,10,"0.263","0.35","0.353",57.1
"McDonald, Trevor",686790,"SF","SI","Sinker",0.3,0,"82",38.7,"20","0.368","0.368","0.35",13.8,10,14.3,"0.357","0.441","0.367",64.7
"Shuster, Jared",694363,"CWS","SL","Slider",-0.6,0,"74",26.4,"20","0.368","0.526","0.413",23.8,5,5.6,"0.35","0.604","0.387",31.6
"Whitley, Forrest",666215,"TB","FC","Cutter",-4.6,-3,"68",26.6,"20","0.412","0.824","0.555",19.4,10,14.3,"0.354","0.52","0.413",50
"Minter, A.J.",621345,"NYM","FF","4-Seam Fastball",1.5,1,"79",42.7,"20","0.235","0.294","0.303",26.9,35,38.9,"0.272","0.518","0.387",70
"Castillo, Luis F.",622379,"SEA","FF","4-Seam Fastball",-2.2,-2,"77",45.8,"20","0.385","0.615","0.513",10.3,5,5,"0.338","0.702","0.52",23.1
"Pressly, Ryan",519151,"CHC","SI","Sinker",1.7,1,"78",11.8,"20","0.071","0.143","0.25",20,5,25,"0.159","0.174","0.294",21.4
"Funderburk, Kody",681892,"MIN","SL","Slider",-2,-2,"78",10.8,"20","0.353","0.471","0.375",14.7,5,5.6,"0.348","0.575","0.407",41.2
"Hagenman, Justin",663795,"NYM","SL","Slider",3.5,3,"74",19.3,"20","0.15","0.2","0.153",34.1,25,27.8,"0.228","0.354","0.249",40
"Beeks, Jalen",656222,"AZ","FC","Cutter",-2.1,-2,"91",9.9,"20","0.316","0.632","0.378",39.4,25,16.7,"0.262","0.456","0.301",46.7
